Order_ID,Date,Region,Category,Product,Units_Sold,Unit_Price,Total_Sales,Customer_Segment
1001,2024-01-03,North,Electronics,Laptop,2,55000,110000,Corporate
1002,2024-01-05,South,Clothing,T-Shirt,15,499,7485,Retail
1003,2024-01-07,East,Electronics,Smartphone,5,22000,110000,Corporate
1004,2024-01-10,West,Furniture,Office Chair,3,8500,25500,SME
1005,2024-01-12,North,Electronics,Headphones,10,2999,29990,Retail
1006,2024-01-15,South,Furniture,Study Table,2,12000,24000,SME
1007,2024-01-18,East,Clothing,Jeans,20,1299,25980,Retail
1008,2024-01-20,West,Electronics,Tablet,4,18000,72000,Corporate
1009,2024-01-22,North,Clothing,Jacket,8,2499,19992,Retail
1010,2024-01-25,South,Electronics,Laptop,3,55000,165000,Corporate
1011,2024-02-01,East,Furniture,Bookshelf,5,6500,32500,SME
1012,2024-02-03,West,Electronics,Smartphone,7,22000,154000,Corporate
1013,2024-02-06,North,Clothing,T-Shirt,25,499,12475,Retail
1014,2024-02-09,South,Electronics,Headphones,12,2999,35988,Retail
1015,2024-02-12,East,Furniture,Office Chair,4,8500,34000,SME
1016,2024-02-15,West,Clothing,Jeans,18,1299,23382,Retail
1017,2024-02-18,North,Electronics,Tablet,6,18000,108000,Corporate
1018,2024-02-20,South,Furniture,Study Table,3,12000,36000,SME
1019,2024-02-23,East,Electronics,Laptop,2,55000,110000,Corporate
1020,2024-02-26,West,Clothing,Jacket,10,2499,24990,Retail
1021,2024-03-02,North,Electronics,Smartphone,8,22000,176000,Corporate
1022,2024-03-05,South,Furniture,Bookshelf,6,6500,39000,SME
1023,2024-03-08,East,Clothing,T-Shirt,30,499,14970,Retail
1024,2024-03-11,West,Electronics,Headphones,15,2999,44985,Retail
1025,2024-03-14,North,Furniture,Office Chair,5,8500,42500,SME
1026,2024-03-17,South,Electronics,Tablet,4,18000,72000,Corporate
1027,2024-03-20,East,Clothing,Jeans,22,1299,28578,Retail
1028,2024-03-23,West,Electronics,Laptop,4,55000,220000,Corporate
1029,2024-03-26,North,Clothing,Jacket,12,2499,29988,Retail
1030,2024-03-29,South,Furniture,Study Table,4,12000,48000,SME
1031,2024-04-02,East,Electronics,Smartphone,6,22000,132000,Corporate
1032,2024-04-05,West,Furniture,Bookshelf,7,6500,45500,SME
1033,2024-04-08,North,Clothing,T-Shirt,35,499,17465,Retail
1034,2024-04-11,South,Electronics,Headphones,18,2999,53982,Retail
1035,2024-04-14,East,Furniture,Office Chair,6,8500,51000,SME
1036,2024-04-17,West,Electronics,Laptop,3,55000,165000,Corporate
1037,2024-04-20,North,Clothing,Jeans,25,1299,32475,Retail
1038,2024-04-23,South,Electronics,Tablet,5,18000,90000,Corporate
1039,2024-04-26,East,Clothing,Jacket,14,2499,34986,Retail
1040,2024-04-29,West,Furniture,Study Table,5,12000,60000,SME
1041,2024-05-02,North,Electronics,Smartphone,9,22000,198000,Corporate
